flight_id,callsign,number,icao24,registration,typecode,origin,landing,destination,diverted,tweet_problem,tweet_result,tweet_fueldump,avh_id,avh_problem,avh_result,avh_fueldump
TOM2AM_20190603,TOM2AM,BY5118,4005a4,G-BYAW,B752,EGGW,EGGD,GCLP,EGGD,medical,diverted,unknown,,,,
BTI1F5_20190603,BTI1F5,BT105,502c7b,YL-BAJ,DH8D,EVRA,EVRA,ESSA,EVRA,unclear,unclear,unknown,4c8c1e8b,cabin_pressure,return,unknown
IBS36SA_20190604,IBS36SA,None,34368e,EC-LEA,A320,EDDT,LFPG,LFPG,,,,,,,,
RPA6030_20190604,RPA6030,DL6030,abf7e2,N870RW,E170,KIND,KIND,KLGA,KIND,unclear,return,unknown,,,,
BEE3JM_20190605,BEE3JM,BE263,406f9a,G-PRPE,DH8D,EGPH,EGCC,EGNX,EGCC,medical,diverted,unknown,,,,
RYR160H_20190606,RYR160H,FR4079,4ca5e8,EI-FOC,B738,LEAL,,EGNT,LFBD,medical,return,unknown,,,,
DAL1894_20190607,DAL1894,DL1894,acc5fb,N922DZ,B739,KSFO,KCVG,KCVG,,unclear,planned,unknown,,,,
AMC106_20190608,AMC106,KM106,4d2027,9H-AEQ,A320,LMML,LFPO,EGLL,LFPO,medical,diverted,unknown,,,,
AAL2270_20190608,AAL2270,AA2270,a0e7f4,N158AN,A321,KDFW,KTPA,KTPA,,,,,,,,
BAW9CG_20190609,BAW9CG,BA289,40040d,G-BNLN,B744,EGLL,,KPHX,,unclear,unclear,unknown,4d6a301b,misc,planned,unknown
JIA5654_20190610,JIA5654,AA5654,a73e6d,N566NN,CRJ9,KCLT,,KMSY,,,,,,,,
DAL2062_20190613,DAL2062,DL2062,a3d3f0,N346DN,A321,KMSP,KBOS,KBOS,,,,,,,,
UAL90_20190613,UAL90,UA90,a2659a,N2534U,B77W,KEWR,,LLBG,,,,,,,,
AAL97_20190613,AAL97,AA97,a482ca,N390AA,B763,LHBP,EDDF,KPHL,EDDF,fuel_leak,diverted,unknown,4c92a6b1,fuel_leak,diverted,unknown
CES5595_20190614,CES5595,MU5595,78069c,B-6715,A320,ZUUU,,ZGSD,,,,,,,,
BAW575_20190615,BAW575,BA575,40097f,G-EUUD,A320,LIML,,EGLL,,unclear,planned,unknown,,,,
ROU1911_20190615,ROU1911,AC1911,c07465,C-GSCA,B763,LHBP,EGPF,CYYZ,EGPF,medical,diverted,unknown,,,,
SWA4850_20190616,SWA4850,WN4850,aab129,N7884G,B737,KDAL,KPHX,KPHX,,,,,,,,
AFL2613_20190616,AFL2613,SU2613,42433f,VP-BMI,B738,LIMC,,UUEE,,unclear,planned,unknown,,,,
AAL578_20190617,AAL578,AA578,a6fb32,N549UW,A321,KPHX,KSEA,KSEA,,,,,,,,
AAL691_20190617,AAL691,AA691,ad24ab,N946NN,B738,KPHX,KAUS,KAUS,,,,,,,,
ENY3650_20190617,ENY3650,AA3650,acc954,N923AE,E145,KORD,KATW,KATW,,,,,,,,
MSR767_20190617,MSR767,MS767,0100e0,SU-GCS,B738,HECA,LEBL,LEBL,,unclear,unclear,unknown,,,,
JBU296_20190617,JBU296,B6296,a7456c,N568JB,A320,KPDX,,KBOS,,,,,,,,
ASA736_20190617,ASA736,AS736,a2d1bc,N281AK,B739,KSEA,,KBOS,,,,,,,,
KLM76U_20190618,KLM76U,KL608,48436b,PH-BQD,B772,KSFO,,EHAM,,,,,,,,
AAL755_20190618,AAL755,AA755,a2e0a5,N285AY,A332,LFPG,LFPG,KPHL,LFPG,unclear,return,unknown,,,,
EZY729X_20190618,EZY729X,U219,406d8e,G-EZOI,A320,EGGW,EGPH,EGPH,,unclear,planned,unknown,,,,
ASA589_20190620,ASA589,AS589,a67b81,N517AS,B738,KBUR,KSEA,KSEA,,,,,,,,
TOM3GL_20190620,TOM3GL,BY1454,406471,G-FDZT,B738,EGPH,EGPF,GCRR,EGPF,bird,diverted,unknown,4c97145e,bird,diverted,unknown
BEE1BA_20190620,BEE1BA,BE680,406f9a,G-PRPE,DH8D,EGAC,EGAC,EGPH,EGAC,unclear,return,unknown,4c97173e,engine,return,unknown
AIC503_20190620,AIC503,AI503,800be5,VT-CID,A20N,VOBL,VOHS,VIDP,VOHS,technical,diverted,unknown,,,,
PCM8697_20190620,PCM8697,PCM8697,a96f22,N707FX,C208,KSMF,KRDD,KRDD,,,,,,,,
DAL411_20190621,DAL411,DL411,a1286c,N174DZ,B763,EHAM,EIDW,KMCO,EIDW,medical,diverted,unknown,,,,
DAL2274_20190622,DAL2274,DL2274,abd2e6,N861DN,B739,KATL,KDEN,KDEN,,unclear,unclear,unknown,,,,
BEE1FN_20190622,BEE1FN,BE881,5110dd,ES-ATA,AT76,EGPF,EGPF,EGHI,EGPF,technical,return,unknown,4c9866cc,misc,return,unknown
RRR6473_20190622,RRR6473,,43c171,ZZ171,C17,,EGVN,,,unclear,unclear,unknown,,,,
UAL1652_20190623,UAL1652,UA1652,aaf9ea,N806UA,A319,KEWR,KATL,KATL,,,,,,,,
NKS970_20190624,NKS970,NK970,a6464b,N503NK,A319,KDEN,KFLL,KFLL,,,,,,,,
CAW419_20190624,CAW419,MN419,00c465,ZS-ZWU,B738,FAOR,,FACT,,,,,,,,
PAL945_20190625,PAL945,,c0013b,C-FAMC,SW4,,CYWG,,,,,,,,,
